title,department,expected_role_family,expected_seniority
Senior Data Analyst,,data_analytics,senior
Data Analyst Intern (Summer 2027),,data_analytics,intern
Senior Product Analyst,,data_analytics,senior
Payroll Tax Analyst,,corporate,unspecified
Underwriting Senior Analyst,,other,senior
Head of Analyst Relations,,marketing,director_plus
Data Engineer,,data_engineering,unspecified
Analytics Engineer,,data_engineering,unspecified
"Staff Software Engineer, Data Platform",,data_engineering,staff_plus
Senior Product Manager - Observability Data Platform,,product,senior
"Technical Program Manager, Storage & Data Infrastructure",,operations_support,unspecified
Senior Data Scientist,,data_science_ml,senior
Staff Machine Learning Engineer,,data_science_ml,staff_plus
Principal Software Engineer,,engineering,staff_plus
Software Engineer II,,engineering,mid
Software Engineer I,,engineering,entry
New Grad Software Engineer,,engineering,entry
Solutions Engineer,,sales_success,unspecified
"Account Executive, Enterprise",,sales_success,unspecified
Product Marketing Manager,,marketing,unspecified
Product Designer,,design,unspecified
Senior Product Manager,,product,senior
Director of Engineering,,engineering,director_plus
"VP, Finance",,corporate,director_plus
Recruiting Coordinator,,corporate,unspecified
Customer Support Specialist,,operations_support,unspecified
Pilates Instructor,,hospitality_fitness,unspecified
Enterprise Account Exec (Armis/Veza),,sales_success,unspecified
Bilingual Hybrid Development Representative - Mandarin,,sales_success,unspecified
Director - GSI Partners North America (Armis/Veza),,sales_success,director_plus
Customer Service Representative,,operations_support,unspecified
"Director, Internal Audit",,corporate,director_plus
Administrative Assistant,,corporate,unspecified
Executive Business Partner,,corporate,unspecified
HR Business Partner,,corporate,unspecified
Restaurant General Manager,,hospitality_fitness,manager
"Associate, Process Improvement",Business Operations,operations_support,entry
"Manager, Strategic Planning",Finance,corporate,manager
"Chief of Staff, Online Grocery",Product,product,director_plus
"Experience Lead, Anthem Row",Club - Staff,hospitality_fitness,staff_plus
"Key Lead, LA",Retail (Stores),hospitality_fitness,staff_plus
Senior Global Billings Lead,Finance & Accounting,corporate,staff_plus
"Service Technician, San Diego 2nd shift",Field Service,operations_support,unspecified
"Senior Staff Editor, Creative Studio",Marketing & Creative,marketing,staff_plus
Senior Quality Inspector - Test & Launch,G-Launch Build and Design,other,senior
"Contributor Experience Manager, Community",Gen AI Operations,operations_support,unspecified
"Dual-Licensed Spa Therapists, Armonk",Club - Massage Therapists,hospitality_fitness,unspecified
"Licensed Massage Therapist, Washington, DC",Club - Massage Therapists,hospitality_fitness,unspecified
"Personal Trainer, Bryant Park",Club - Personal Training,hospitality_fitness,unspecified
NP/PA - Virtual Urgent Care,Oscar Medical Group,healthcare,unspecified
Care Coordinator,Clinical,healthcare,unspecified
Assistant Restaurant Manager,Club - Staff,hospitality_fitness,manager
Senior Data Scientist,Marketing,data_science_ml,senior
Staff Software Engineer,Club - Staff,engineering,staff_plus
Software Engineer,,engineering,unspecified
Data Engineer II,,data_engineering,mid
Mid-Level Backend Engineer,,engineering,mid
Quantitative Researcher,Quant Management,data_science_ml,unspecified
Senior Technical Sourcer,Talent Acquisition,corporate,senior
Technical Writer,Engineering,engineering,unspecified
"Engineering Manager, Payments Platform",,engineering,manager
"Manager I, Engineering - Cloud FinOps",,engineering,manager
"Senior Manager, Revenue Accounting",Finance,corporate,manager
"Tech Lead Manager, Agent Runtime Platform",Engineering,engineering,manager
"Account Manager, Enterprise",,sales_success,unspecified
"Senior Technical Program Manager, Billing",,operations_support,senior
